well_id,date,wte,aquifer_id
KLAM0000522,1959-07-09,4544.24,201
KLAM0000522,1962-04-05,4537.19,201
KLAM0000522,1962-07-27,4530.32,201
KLAM0000522,1962-10-25,4536.63,201
KLAM0000522,1963-01-25,4536.09,201
KLAM0000522,1963-05-03,4535.98,201
KLAM0000522,1963-07-26,4535.92,201
KLAM0000522,1963-10-25,4535.56,201
KLAM0000522,1964-04-24,4534.9,201
KLAM0000522,1964-07-24,4534.63,201
KLAM0000522,1964-10-23,4533.77,201
KLAM0000522,1965-01-29,4534.36,201
KLAM0000522,1965-04-23,4535.5,201
KLAM0000522,1965-07-30,4534.28,201
KLAM0000522,1965-10-29,4537.85,201
KLAM0000522,1966-02-04,4537.99,201
KLAM0000522,1966-04-22,4538.05,201
KLAM0000522,1966-07-22,4537.48,201
KLAM0000522,1966-10-21,4539.01,201
KLAM0000522,1967-04-21,4537.08,201
KLAM0000522,1968-04-26,4536.22,201
KLAM0000522,1968-07-26,4535.68,201
KLAM0000522,1968-10-25,4534.58,201
KLAM0000522,1969-04-26,4533.48,201
KLAM0000522,1969-10-31,4532.77,201
KLAM0000522,1970-04-21,4531.54,201
KLAM0000522,1970-10-19,4533.25,201
KLAM0000522,1970-10-23,4532.84,201
KLAM0000522,1971-02-12,4532.98,201
KLAM0000522,1974-10-25,4545.17,201
KLAM0000522,1975-04-25,4544.88,201
KLAM0000522,1975-07-25,4545.83,201
KLAM0000522,1975-10-17,4545.29,201
KLAM0000522,1976-01-30,4545.32,201
KLAM0000522,1976-04-30,4544.19,201
KLAM0000522,1976-08-06,4544.11,201
KLAM0000522,1976-10-22,4543.89,201
KLAM0000522,1977-04-28,4542.27,201
KLAM0000522,1977-07-29,4541.08,201
KLAM0000522,1977-10-20,4540.13,201
KLAM0000522,1978-02-03,4538.52,201
KLAM0000522,1978-04-28,4538.4,201
KLAM0000522,1978-07-28,4537.88,201
KLAM0000522,1979-08-02,4534.55,201
KLAM0000522,1980-03-20,4533.95,201
KLAM0000522,1980-10-16,4531.65,201
