well_id,date,wte,aquifer_id
311098,02/24/2015,170.92,3
311099,02/24/2015,170.18,3
311099,03/31/2015,170.51,3
311099,06/19/2015,169.73,3
311099,08/31/2015,171.19,3
311099,10/22/2015,171.68,3
311099,01/23/2016,171.23,3
311099,07/16/2016,170.72,3
311099,08/09/2018,170.96,3
311099,11/02/2018,171.67,3
311099,01/08/2019,171.34,3
311099,03/29/2019,171.01,3
311099,07/21/2019,170.72,3
311137,02/23/2015,192.59,3
311137,03/30/2015,193.18,3
311137,06/17/2015,192.97,3
311137,08/30/2015,193.3,3
311137,10/19/2015,193.71,3
311137,01/22/2016,193.32,3
311137,07/15/2016,192.89,3
311137,08/07/2018,193.01,3
311137,10/31/2018,193.37,3
311137,01/06/2019,193.15,3
311137,03/27/2019,192.85,3
311312,02/25/2015,181.71,3
311312,03/31/2015,181.5,3
311312,06/18/2015,181.23,3
311312,08/31/2015,181.61,3
311312,10/19/2015,182.59,3
311312,01/24/2016,181.67,3
311312,07/16/2016,181.54,3
311312,08/09/2018,181.86,3
311312,11/03/2018,182.16,3
311312,01/08/2019,182.16,3
311312,03/29/2019,181.86,3
311312,07/21/2019,181.68,3
311322,02/23/2015,194.49,3
311322,03/30/2015,194.41,3
311322,06/16/2015,194.34,3
311322,08/30/2015,194.71,3
311322,10/19/2015,194.94,3
311322,01/22/2016,194.71,3
311322,07/26/2016,194.61,3
311322,08/07/2018,194.22,3
311322,10/31/2018,194.41,3
311322,01/06/2019,194.27,3
311322,03/27/2019,194.1,3
311374,02/23/2015,187.67,3
311374,03/30/2015,187.41,3
311374,06/17/2015,187.41,3
311374,07/15/2015,186.45,3
311374,08/30/2015,187.94,3
311374,10/19/2015,188.23,3
311374,01/22/2016,188.03,3
311374,08/07/2018,186.22,3
311374,10/31/2018,186.49,3
311374,01/06/2019,186.33,3
311374,03/27/2019,186.74,3
311374,07/19/2019,186.67,3
311376,02/24/2015,178.27,3
311376,03/31/2015,178.18,3
311376,06/18/2015,178.07,3
311376,08/31/2015,179.2,3
311376,10/22/2015,179.05,3
311376,01/23/2016,178.59,3
311376,07/16/2016,178.9,3
311376,08/08/2018,179.06,3
311376,11/01/2018,178.93,3
311376,01/07/2019,178.63,3
311376,03/28/2019,178.33,3
311376,07/20/2019,179.07,3
311378,02/24/2015,171.97,3
311378,03/31/2015,172.01,3
311378,06/18/2015,172.87,3
311378,08/31/2015,172.4,3
311378,10/22/2015,172.74,3
311378,01/23/2016,172.43,3
311378,07/16/2016,172.09,3
311378,08/08/2018,172.8,3
311378,11/02/2018,173.21,3
311378,01/07/2019,173.0,3
311378,03/28/2019,172.67,3
311378,07/21/2019,175.47,3
312179,03/30/2015,190.21,3
312179,06/17/2015,189.99,3
312179,08/30/2015,191.59,3
312179,10/19/2015,191.4,3
312179,01/22/2016,190.76,3
312179,07/26/2016,190.1,3
312179,08/07/2018,188.94,3
312179,10/31/2018,189.35,3
312179,01/06/2019,188.98,3
312179,03/27/2019,188.67,3
312179,07/19/2019,188.7,3
312237,02/23/2015,190.33,3
312237,06/16/2015,190.1,3
312237,08/30/2015,191.14,3
312237,10/19/2015,190.97,3
312237,01/22/2016,190.81,3
312237,07/26/2016,190.46,3
312237,08/07/2018,189.72,3
312237,10/31/2018,190.11,3
312237,01/06/2019,189.87,3
312237,03/27/2019,189.63,3
312237,07/19/2019,189.6,3
402615,02/25/2015,337.76,2
402615,03/27/2015,338.66,2
402615,04/14/2015,338.86,2
402615,08/28/2015,340.91,2
402615,10/30/2015,341.16,2
402615,01/17/2016,340.66,2
402615,07/19/2016,340.04,2
402615,08/15/2018,335.01,2
402615,11/22/2018,340.81,2
402615,12/29/2018,340.35,2
402615,03/24/2019,338.64,2
402615,10/23/2019,340.15,2
402615,04/19/2020,337.51,2
406332,02/26/2015,343.85,2
406332,03/27/2015,344.05,2
406332,06/14/2015,343.75,2
406332,08/28/2015,345.05,2
406332,10/30/2015,344.89,2
406332,01/17/2016,344.52,2
406332,07/19/2016,344.81,2
406332,08/15/2018,343.5,2
406332,11/21/2018,345.41,2
406332,12/29/2018,345.16,2
406332,03/24/2019,345.06,2
406332,10/23/2019,345.28,2
406332,04/19/2020,344.51,2
409228,02/26/2015,334.64,2
409228,03/29/2015,334.52,2
409228,06/14/2015,334.44,2
409228,08/28/2015,334.68,2
409228,10/30/2015,334.5,2
409228,01/17/2016,334.62,2
409228,07/19/2016,334.57,2
409228,08/14/2018,334.57,2
409228,11/20/2018,334.72,2
409228,12/29/2018,334.73,2
409228,03/23/2019,334.56,2
409228,10/21/2019,334.79,2
409228,04/18/2020,334.44,2
409336,02/27/2015,343.8,2
409336,03/30/2015,343.45,2
409336,06/15/2015,360.48,2
409336,09/01/2015,360.74,2
409336,10/31/2015,360.93,2
409336,01/16/2016,360.37,2
409379,02/24/2015,342.11,2
409379,03/28/2015,342.58,2
409379,06/14/2015,341.23,2
409379,08/30/2015,342.88,2
409379,10/29/2015,343.04,2
409379,01/18/2016,341.31,2
409379,07/18/2016,341.75,2
409379,08/17/2018,342.24,2
409379,11/24/2018,342.66,2
409379,12/30/2018,342.43,2
409379,03/23/2019,341.63,2
409379,10/23/2019,342.0,2
409379,04/17/2020,342.08,2
409425,02/24/2015,357.36,2
409425,03/26/2015,347.6,2
409425,06/14/2015,347.23,2
409425,08/30/2015,347.76,2
409425,10/29/2015,347.71,2
409425,01/18/2016,347.69,2
409425,07/18/2016,347.66,2
409425,08/15/2018,347.73,2
409425,11/23/2018,347.69,2
409425,01/02/2019,347.64,2
409425,03/23/2019,347.62,2
409425,10/23/2019,347.96,2
409425,04/17/2020,347.56,2
412244,02/24/2015,353.65,2
