well_id,well_name,long,lat,aquifer_id,gse
6008,Well #6008,-71.36260554,17.80011111,1,1.5
5969320001,Well #5969320001,-71.3884436,17.80101659,1,22.0
6002,Well #6002,-71.45966175,17.83007475,1,108.0
6003,Well #6003,-71.44658521,17.8392711,1,108.0
6014,Well #6014,-71.29866807,17.8510055,1,2.5
6012,Well #6012,-71.32651174,17.85248193,1,21.5
6035,Well #6035,-71.27377966,17.89646191,1,26.0
5869120002,Well #5869120002,-71.63908706,17.92895959,1,11.0
5869120003,Well #5869120003,-71.63996970000002,17.96490851,1,7.5
5869120001,Well #5869120001,-71.63962654,17.96531054,1,11.0
6024,Well #6024,-71.30871081,17.97102225,2,280.5
6026,Well #6026,-71.32642943,17.9906822,2,321.5
5969120001,Well #5969120001,-71.16480492,17.99562682,2,20.0
5870240011,Well #5870240011,-71.70051504,18.02095792,1,9.5
5870240003,Well #5870240003,-71.69155292,18.02809953,1,22.5
5870244000,Well #5870244000,-71.71766316,18.02943204,1,8.5
5870240007,Well #5870240007,-71.71250699999999,18.03358617,1,8.0
5870240010,Well #5870240010,-71.71214445,18.03456653,1,9.5
5870240009,Well #5870240009,-71.71546757,18.0388996,1,13.0
5870240008,Well #5870240008,-71.71671457,18.03957741,1,14.5
5870140002,Well #5870140002,-71.73810773,18.07145008,1,62.5
587024004,Well #587024004,-71.73478088,18.07305046,1,72.0
5870240005,Well #5870240005,-71.73371746,18.07693045,2,80.0
5970220001,Well #5970220001,-71.09267891,18.07792144,2,11.5
5870240001,Well #5870240001,-71.73381906,18.07922269,2,83.5
58702,Well #58702,-71.65607903,18.09459534,2,413.5
5870220001,Well #5870220001,-71.6762166,18.10364535,2,439.5
5970460002,Well #5970460002,-71.25580992,18.16932032,2,594.5
2894,Well #2894,-70.45122102,18.2219565,3,11.0
2117,Well #2117,-70.30900887,18.23517965,3,9.5
5047,Well #5047,-71.26635299,18.23708617,5,62.0
5043,Well #5043,-71.38552248,18.24196121,5,79.5
2003,Well #2003,-70.47313869999998,18.24212032,12,58.5
2045,Well #2045,-70.18048757,18.24911812,12,15.0
2899,Well #2899,-70.31953697,18.2518249,3,29.0
2898,Well #2898,-70.31920597,18.25182718,3,29.5
2893,Well #2893,-70.38664488,18.25857958,3,41.5
5970430001,Well #5970430001,-71.32489031,18.26237965,5,58.0
2109,Well #2109,-70.51924359,18.2697712,3,63.5
6170430002,Well #6170430002,-70.32084117,18.27420823,3,48.5
2897,Well #2897,-70.37791901,18.27942603,12,56.0
6070130009,Well #6070130009,-70.57119896,18.28166701,3,19.0
607012004,Well #607012004,-70.58498396,18.28211341,3,6.0
6070120003,Well #6070120003,-70.58651093,18.2825706,3,8.0
6070130017,Well #6070130017,-70.5778782,18.28288602,3,14.5
6070130011,Well #6070130011,-70.57309711,18.28343142,3,17.5
6070130010,Well #6070130010,-70.5735135,18.2834551,3,16.0
6070130008,Well #6070130008,-70.57039501,18.28376989,3,21.0
6070130007,Well #6070130007,-70.56780436,18.28388151,12,23.0
6070130012,Well #6070130012,-70.57600557,18.2839496,3,14.0
6070120001,Well #6070120001,-70.58338474,18.2841145,3,9.5
6070130003,Well #6070130003,-70.55281643,18.28432915,12,31.5
6070120005,Well #6070120005,-70.59055953,18.28468741,3,5.0
6070130016,Well #6070130016,-70.57911543,18.28477327,3,11.5
6070120006,Well #6070120006,-70.58888689,18.28485493,3,5.5
6070120002,Well #6070120002,-70.58215404,18.28503728,3,9.5
6070130013,Well #6070130013,-70.5761212,18.2852317,3,13.0
6070130002,Well #6070130002,-70.55216313,18.28531935,12,32.5
6070130005,Well #6070130005,-70.5547088,18.2854613,12,33.5
6070130004,Well #6070130004,-70.55247903,18.28574146,12,33.5
6070130015,Well #6070130015,-70.57922048,18.28592896,3,11.5
2057,Well #2057,-70.57188174,18.28606175,3,16.0
6070130006,Well #6070130006,-70.56182924,18.28629777,12,25.5
6070120015,Well #6070120015,-70.5818066,18.28635935,3,9.5
6070130014,Well #6070130014,-70.57594396,18.28655236,3,12.0
6070120014,Well #6070120014,-70.58039044,18.28665117,3,10.5
6070130019,Well #6070130019,-70.57313721,18.28682848,3,15.5
6070120008,Well #6070120008,-70.58734444,18.28685557,3,5.5
6070120007,Well #6070120007,-70.5885368,18.28691795,3,6.0
6070130001,Well #6070130001,-70.54092439,18.28726262,3,41.0
6070100009,Well #6070100009,-70.58665195,18.28767452,3,6.5
6070120013,Well #6070120013,-70.58181034,18.28781405,3,8.5
2065,Well #2065,-70.32926933,18.28790324,3,64.0
6070130022,Well #6070130022,-70.57517404,18.28823029,3,12.5
6070130020,Well #6070130020,-70.57474207,18.28857721,3,13.5
6070130018,Well #6070130018,-70.57754502,18.28892455,3,10.0
6070120012,Well #6070120012,-70.5840244,18.2889342,3,6.5
6070120010,Well #6070120010,-70.58752587,18.29016108,3,6.5
6070120016,Well #6070120016,-70.58123652,18.29024937,3,9.0
6070I20016,Well #6070I20016,-70.58123652,18.29024937,3,9.0
6070120011,Well #6070120011,-70.58747266,18.29055005,3,6.5
6070130021,Well #6070130021,-70.57564349,18.29203041,3,10.5
2035,Well #2035,-70.50243427,18.2947526,3,79.5
2005,Well #2005,-70.20120059,18.30411361,12,31.5
5870120002,Well #5870120002,-71.59001985,18.31225557,2,436.0
5870120003,Well #5870120003,-71.58788053,18.31272711,2,428.5
5870130002,Well #5870130002,-71.58269116,18.31410691,2,419.5
5870120006,Well #5870120006,-71.59107132,18.31619681,2,433.5
5870130004,Well #5870130004,-71.54777162,18.31729482,2,392.5
5870120005,Well #5870120005,-71.58995706,18.31756658,2,426.5
5870120004,Well #5870120004,-71.58631375,18.31800434,2,415.5
5870130001,Well #5870130001,-71.58142558,18.31993996,2,407.5
5870120001,Well #5870120001,-71.58338385,18.32127712,2,407.0
5870120010,Well #5870120010,-71.57632559999998,18.32418122,2,401.5
5870130003,Well #5870130003,-71.5782334,18.32530237,2,406.5
5870120007,Well #5870120007,-71.58715584,18.32694254,2,409.0
6171340001,Well #6171340001,-70.41996354,18.32812121,3,167.5
5870120009,Well #5870120009,-71.60674993,18.32955647,2,431.5
6170430001,Well #6170430001,-70.32742232,18.33103773,12,115.0
5870120008,Well #5870120008,-71.60555623,18.33256198,2,433.5
6171350001,Well #6171350001,-70.3280705,18.33661769,12,127.0
6171340002,Well #6171340002,-70.42049085,18.3382377,3,186.0
6171340003,Well #6171340003,-70.42182446,18.34511325,3,190.0
6171340015,Well #6171340015,-70.47233701,18.34652787,3,149.0
6171340014,Well #6171340014,-70.47344618,18.3467723,3,149.0
6171340012,Well #6171340012,-70.47190552,18.34697396,3,149.0
6171340013,Well #6171340013,-70.47267552,18.3473927,3,146.0
6171340016,Well #6171340016,-70.49001371,18.35107105,3,133.0
6171340009,Well #6171340009,-70.47542434,18.35129302,3,136.0
6171340008,Well #6171340008,-70.47681886,18.3517069,3,136.5
